Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
West Bay,L.SW07BT,S.SW07B,CBEP2010-SW07B,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW08T,S.SW08,CBEP2010-SW08,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW09,S.SW09,CBEP2010-SW09,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW10,S.SW10,CBEP2010-SW10,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW10T,S.SW10T,CBEP2010-SW10R,2011,-1,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW11T,S.SW11T,CBEP2010-SW11,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW12T,S.SW12,CBEP2010-SW12,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.SW13T,S.SW13,CBEP2010-SW13,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB01,S.WB01,CBEP2010-WB01,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB02T,S.WB02,CBEP2010-WB02,2010,0,DDT+DDE+DDD (sum),DDT_BK,1.1,NA,NA,ng/g dry,1,NA,NA,Y,2010s,1.58,46.1,ng/g dry,Below ERL
West Bay,L.WB03,S.WB03,CBEP2010-WB03,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB04T,S.WB04,CBEP2010-WB04,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB05,S.WB05,CBEP2010-WB05,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB06T,S.WB06,CBEP2010-WB06,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB07T,S.WB07,CBEP2010-WB07,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB08T,S.WB08,CBEP2010-WB08,2011,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
West Bay,L.WB09T,S.WB09,CBEP2010-WB09,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.1013,NA,NCCA10-1013,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
East Bay,L.1016,NA,NCCA10-1016,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Inner Bay,L.1021,NA,NCCA10-1021,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.1015,NA,NCCA10-1015,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
Outer Bay,L.1017,NA,NCCA10-1017,2010,0,DDT+DDE+DDD (sum),DDT_BK,NA,NA,NA,ng/g dry,0,NA,NA,Y,2010s,1.58,46.1,ng/g dry,NA
