Region,Location,Substation,Sample_ID,Sample_Year,Replicate,Parameter,CASRN,Result,MDL,RL,Units,Det_Flag,Qualifier,QA Qualifier,Reportable_Result,Era,ERL,ERM,Units_SQuiRT,LVL
West Bay,L.WB07,S.WB07,1994.WB07,1994,0,Monobutyltin,78763-54-9,0.3,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.WB09,S.WB09,1994.WB09,1994,0,Tributyltin,688-73-3,6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.WB09,S.WB09,1994.WB09,1994,0,Dibutyltin,1002-53-5,0.6,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
West Bay,L.WB09,S.WB09,1994.WB09,1994,0,Monobutyltin,78763-54-9,0.5,NA,NA,ng/g dry,1,NA,NA,Y,1990s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,2001.CS04,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,2001.CS04,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
Cape Small,L.CS04,S.CS04,2001.CS04,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,2001.EB04,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,2001.EB04,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB04,S.EB04,2001.EB04,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB05,S.EB05,2001.EB05,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB05,S.EB05,2001.EB05,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB05,S.EB05,2001.EB05,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06X,S.EB06X,2001.EB06.R,2001,0,Tributyltin,688-73-3,5.81,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06X,S.EB06X,2001.EB06.R,2001,0,Dibutyltin,1002-53-5,2.18,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06X,S.EB06X,2001.EB06.R,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06,S.EB06,2001.EB06,2002,0,Tributyltin,688-73-3,4.78,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06,S.EB06,2001.EB06,2002,0,Dibutyltin,1002-53-5,3.6,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB06,S.EB06,2001.EB06,2002,0,Monobutyltin,78763-54-9,2.86,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB07,S.EB07,2001.EB07,2002,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB07,S.EB07,2001.EB07,2002,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB07,S.EB07,2001.EB07,2002,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB08,S.EB08,2001.EB08,2001,0,Tributyltin,688-73-3,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB08,S.EB08,2001.EB08,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB08,S.EB08,2001.EB08,2001,0,Monobutyltin,78763-54-9,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB09X,S.EB09X,2001.EB09,2001,0,Tributyltin,688-73-3,2.06,NA,NA,ng/g dry,1,NA,NA,Y,2000s,NA,NA,NA,"NA"
East Bay,L.EB09X,S.EB09X,2001.EB09,2001,0,Dibutyltin,1002-53-5,NA,NA,NA,ng/g dry,0,ND,NA,Y,2000s,NA,NA,NA,"NA"
